Age,Age_Band ,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,DistanceFromHome_Band,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,HourlyRate_Band,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyIncome_Band,MonthlyRate,NumCompaniesWorked,NumCompaniesWorked_Band,Over18,OverTime,PercentSalaryHike,PercentSalaryHike_Band,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TotalWorkingYears_Band,TrainingTimesLastYear,TrainingTimesLastYear_Band,WorkLifeBalance,YearsAtCompany,YearsAtCompany_Band,YearsInCurrentRole,YearsInCurrentRole_Band,YearsSinceLastPromotion,YearsSinceLastPromotion_Band,YearsWithCurrManager,YearsWithCurrManager_Band
33,31-40 yrs old,No,Travel_Rarely,147,Research & Development,4,0-10KM,4,Medical,1,305,3,Female,47,RM31-RM60,2,1,Research Scientist,2,Married,2622,RM0-RM5000,13248,6,>5,Y,No,21,>20%,4,4,80,0,7,7-9 years,3,3-5 hours,3,3,0-3 years,2,0-3 years,1,0-3 years,1,0-3 years
37,31-40 yrs old,No,Travel_Frequently,663,Research & Development,11,11-20KM,3,Other,1,306,2,Male,47,RM31-RM60,3,3,Research Director,4,Divorced,12185,RM10001-RM15000,10056,1,0-2,Y,Yes,14,11-15%,3,3,80,3,10,>9 years,1,0-2 hours,3,10,>9 years,8,7-9 years,0,0-3 years,7,7-9 years
38,31-40 yrs old,No,Travel_Rarely,119,Sales,3,0-10KM,3,Life Sciences,1,307,1,Male,76,RM61-RM90,3,3,Sales Executive,3,Divorced,10609,RM10001-RM15000,9647,0,0-2,Y,No,12,11-15%,3,3,80,2,17,>9 years,6,>5 hours,2,16,>9 years,10,>9 years,5,4-6 years,13,>9 years
31,31-40 yrs old,No,Non-Travel,979,Research & Development,1,0-10KM,4,Medical,1,308,3,Male,90,RM61-RM90,1,2,Manufacturing Director,3,Married,4345,RM0-RM5000,4381,0,0-2,Y,No,12,11-15%,3,4,80,1,6,4-6 years,2,0-2 hours,3,5,4-6 years,4,4-6 years,1,0-3 years,4,4-6 years
59,>50 yrs old,No,Travel_Rarely,142,Research & Development,3,0-10KM,3,Life Sciences,1,309,3,Male,70,RM61-RM90,2,1,Research Scientist,4,Married,2177,RM0-RM5000,8456,3,3-5,Y,No,17,16-20%,3,1,80,1,7,7-9 years,6,>5 hours,3,1,0-3 years,0,0-3 years,0,0-3 years,0,0-3 years
37,31-40 yrs old,No,Travel_Frequently,319,Sales,4,0-10KM,4,Marketing,1,311,1,Male,41,RM31-RM60,3,1,Sales Representative,4,Divorced,2793,RM0-RM5000,2539,4,3-5,Y,No,17,16-20%,3,3,80,1,13,>9 years,2,0-2 hours,3,9,7-9 years,8,7-9 years,5,4-6 years,8,7-9 years
29,21-30 yrs old,No,Travel_Frequently,1413,Sales,1,0-10KM,1,Medical,1,312,2,Female,42,RM31-RM60,3,3,Sales Executive,4,Married,7918,RM5001-RM10000,6599,1,0-2,Y,No,14,11-15%,3,4,80,1,11,>9 years,5,3-5 hours,3,11,>9 years,10,>9 years,4,4-6 years,1,0-3 years
35,31-40 yrs old,No,Travel_Frequently,944,Sales,1,0-10KM,3,Marketing,1,314,3,Female,92,>RM90,3,3,Sales Executive,3,Single,8789,RM5001-RM10000,9096,1,0-2,Y,No,14,11-15%,3,1,80,0,10,>9 years,3,3-5 hours,4,10,>9 years,7,7-9 years,0,0-3 years,8,7-9 years
29,21-30 yrs old,Yes,Travel_Rarely,896,Research & Development,18,11-20KM,1,Medical,1,315,3,Male,86,RM61-RM90,2,1,Research Scientist,4,Single,2389,RM0-RM5000,14961,1,0-2,Y,Yes,13,11-15%,3,3,80,0,4,4-6 years,3,3-5 hours,2,4,4-6 years,3,0-3 years,0,0-3 years,1,0-3 years
52,>50 yrs old,No,Travel_Rarely,1323,Research & Development,2,0-10KM,3,Life Sciences,1,316,3,Female,89,RM61-RM90,2,1,Laboratory Technician,4,Single,3212,RM0-RM5000,3300,7,>5,Y,No,15,11-15%,3,2,80,0,6,4-6 years,3,3-5 hours,2,2,0-3 years,2,0-3 years,2,0-3 years,2,0-3 years
42,41-50 yrs old,No,Travel_Rarely,532,Research & Development,4,0-10KM,2,Technical Degree,1,319,3,Male,58,RM31-RM60,3,5,Manager,4,Married,19232,>RM15000,4933,1,0-2,Y,No,11,11-15%,3,4,80,0,22,>9 years,3,3-5 hours,3,22,>9 years,17,>9 years,11,>9 years,15,>9 years
59,>50 yrs old,No,Travel_Rarely,818,Human Resources,6,0-10KM,2,Medical,1,321,2,Male,52,RM31-RM60,3,1,Human Resources,3,Married,2267,RM0-RM5000,25657,8,>5,Y,No,17,16-20%,3,4,80,0,7,7-9 years,2,0-2 hours,2,2,0-3 years,2,0-3 years,2,0-3 years,2,0-3 years
50,41-50 yrs old,No,Travel_Rarely,854,Sales,1,0-10KM,4,Medical,1,323,4,Female,68,RM61-RM90,3,5,Manager,4,Divorced,19517,>RM15000,24118,3,3-5,Y,No,11,11-15%,3,3,80,1,32,>9 years,3,3-5 hours,2,7,7-9 years,0,0-3 years,0,0-3 years,6,4-6 years
33,31-40 yrs old,Yes,Travel_Rarely,813,Research & Development,14,11-20KM,3,Medical,1,325,3,Male,58,RM31-RM60,3,1,Laboratory Technician,4,Married,2436,RM0-RM5000,22149,5,3-5,Y,Yes,13,11-15%,3,3,80,1,8,7-9 years,2,0-2 hours,1,5,4-6 years,4,4-6 years,0,0-3 years,4,4-6 years
43,41-50 yrs old,No,Travel_Rarely,1034,Sales,16,11-20KM,3,Marketing,1,327,4,Female,80,RM61-RM90,3,4,Manager,4,Married,16064,>RM15000,7744,5,3-5,Y,Yes,22,>20%,4,3,80,1,22,>9 years,3,3-5 hours,3,17,>9 years,13,>9 years,1,0-3 years,9,7-9 years
33,31-40 yrs old,Yes,Travel_Rarely,465,Research & Development,2,0-10KM,2,Life Sciences,1,328,1,Female,39,RM31-RM60,3,1,Laboratory Technician,1,Married,2707,RM0-RM5000,21509,7,>5,Y,No,20,16-20%,4,1,80,0,13,>9 years,3,3-5 hours,4,9,7-9 years,7,7-9 years,1,0-3 years,7,7-9 years
52,>50 yrs old,No,Non-Travel,771,Sales,2,0-10KM,4,Life Sciences,1,329,1,Male,79,RM61-RM90,2,5,Manager,3,Single,19068,>RM15000,21030,1,0-2,Y,Yes,18,16-20%,3,4,80,0,33,>9 years,2,0-2 hours,4,33,>9 years,7,7-9 years,15,>9 years,12,>9 years
32,31-40 yrs old,No,Travel_Rarely,1401,Sales,4,0-10KM,2,Life Sciences,1,330,3,Female,56,RM31-RM60,3,1,Sales Representative,2,Married,3931,RM0-RM5000,20990,2,0-2,Y,No,11,11-15%,3,1,80,1,6,4-6 years,5,3-5 hours,3,4,4-6 years,3,0-3 years,1,0-3 years,2,0-3 years
32,31-40 yrs old,Yes,Travel_Rarely,515,Research & Development,1,0-10KM,3,Life Sciences,1,331,4,Male,62,RM61-RM90,2,1,Laboratory Technician,3,Single,3730,RM0-RM5000,9571,0,0-2,Y,Yes,14,11-15%,3,4,80,0,4,4-6 years,2,0-2 hours,1,3,0-3 years,2,0-3 years,1,0-3 years,2,0-3 years
39,31-40 yrs old,No,Travel_Rarely,1431,Research & Development,1,0-10KM,4,Medical,1,332,3,Female,96,>RM90,3,1,Laboratory Technician,3,Divorced,2232,RM0-RM5000,15417,7,>5,Y,No,14,11-15%,3,3,80,3,7,7-9 years,1,0-2 hours,3,3,0-3 years,2,0-3 years,1,0-3 years,2,0-3 years
32,31-40 yrs old,No,Non-Travel,976,Sales,26,>20KM,4,Marketing,1,333,3,Male,100,>RM90,3,2,Sales Executive,4,Married,4465,RM0-RM5000,12069,0,0-2,Y,No,18,16-20%,3,1,80,0,4,4-6 years,2,0-2 hours,3,3,0-3 years,2,0-3 years,2,0-3 years,2,0-3 years
41,41-50 yrs old,No,Travel_Rarely,1411,Research & Development,19,11-20KM,2,Life Sciences,1,334,3,Male,36,RM31-RM60,3,2,Research Scientist,1,Divorced,3072,RM0-RM5000,19877,2,0-2,Y,No,16,16-20%,3,1,80,2,17,>9 years,2,0-2 hours,2,1,0-3 years,0,0-3 years,0,0-3 years,0,0-3 years
40,31-40 yrs old,No,Travel_Rarely,1300,Research & Development,24,>20KM,2,Technical Degree,1,335,1,Male,62,RM61-RM90,3,2,Research Scientist,4,Divorced,3319,RM0-RM5000,24447,1,0-2,Y,No,17,16-20%,3,1,80,2,9,7-9 years,3,3-5 hours,3,9,7-9 years,8,7-9 years,4,4-6 years,7,7-9 years
45,41-50 yrs old,No,Travel_Rarely,252,Research & Development,1,0-10KM,3,Other,1,336,3,Male,70,RM61-RM90,4,5,Manager,4,Married,19202,>RM15000,15970,0,0-2,Y,No,11,11-15%,3,3,80,1,25,>9 years,2,0-2 hours,3,24,>9 years,0,0-3 years,1,0-3 years,7,7-9 years
31,31-40 yrs old,No,Travel_Frequently,1327,Research & Development,3,0-10KM,4,Medical,1,337,2,Male,73,RM61-RM90,3,3,Research Director,3,Divorced,13675,RM10001-RM15000,13523,9,>5,Y,No,12,11-15%,3,1,80,1,9,7-9 years,3,3-5 hours,3,2,0-3 years,2,0-3 years,2,0-3 years,2,0-3 years
33,31-40 yrs old,No,Travel_Rarely,832,Research & Development,5,0-10KM,4,Life Sciences,1,338,3,Female,63,RM61-RM90,2,1,Research Scientist,4,Married,2911,RM0-RM5000,14776,1,0-2,Y,No,13,11-15%,3,3,80,1,2,0-3 years,2,0-2 hours,2,2,0-3 years,2,0-3 years,0,0-3 years,2,0-3 years
34,31-40 yrs old,No,Travel_Rarely,470,Research & Development,2,0-10KM,4,Life Sciences,1,339,4,Male,84,RM61-RM90,2,2,Manufacturing Director,1,Married,5957,RM5001-RM10000,23687,6,>5,Y,No,13,11-15%,3,2,80,1,13,>9 years,3,3-5 hours,3,11,>9 years,9,7-9 years,5,4-6 years,9,7-9 years
37,31-40 yrs old,No,Travel_Rarely,1017,Research & Development,1,0-10KM,2,Medical,1,340,3,Female,83,RM61-RM90,2,1,Research Scientist,1,Married,3920,RM0-RM5000,18697,2,0-2,Y,No,14,11-15%,3,1,80,1,17,>9 years,2,0-2 hours,2,3,0-3 years,1,0-3 years,0,0-3 years,2,0-3 years
45,41-50 yrs old,No,Travel_Frequently,1199,Research & Development,7,0-10KM,4,Life Sciences,1,341,1,Male,77,RM61-RM90,4,2,Manufacturing Director,3,Married,6434,RM5001-RM10000,5118,4,3-5,Y,No,17,16-20%,3,4,80,1,9,7-9 years,1,0-2 hours,3,3,0-3 years,2,0-3 years,0,0-3 years,2,0-3 years
37,31-40 yrs old,Yes,Travel_Frequently,504,Research & Development,10,0-10KM,3,Medical,1,342,1,Male,61,RM61-RM90,3,3,Manufacturing Director,3,Divorced,10048,RM10001-RM15000,22573,6,>5,Y,No,11,11-15%,3,2,80,2,17,>9 years,5,3-5 hours,3,1,0-3 years,0,0-3 years,0,0-3 years,0,0-3 years
39,31-40 yrs old,No,Travel_Frequently,505,Research & Development,2,0-10KM,4,Technical Degree,1,343,3,Female,64,RM61-RM90,3,3,Healthcare Representative,3,Single,10938,RM10001-RM15000,6420,0,0-2,Y,No,25,>20%,4,4,80,0,20,>9 years,1,0-2 hours,3,19,>9 years,6,4-6 years,11,>9 years,8,7-9 years
29,21-30 yrs old,No,Travel_Rarely,665,Research & Development,15,11-20KM,3,Life Sciences,1,346,3,Male,60,RM31-RM60,3,1,Research Scientist,4,Single,2340,RM0-RM5000,22673,1,0-2,Y,No,19,16-20%,3,1,80,0,6,4-6 years,1,0-2 hours,3,6,4-6 years,5,4-6 years,1,0-3 years,5,4-6 years
42,41-50 yrs old,No,Travel_Rarely,916,Research & Development,17,11-20KM,2,Life Sciences,1,347,4,Female,82,RM61-RM90,4,2,Research Scientist,1,Single,6545,RM5001-RM10000,23016,3,3-5,Y,Yes,13,11-15%,3,3,80,0,10,>9 years,1,0-2 hours,3,3,0-3 years,2,0-3 years,0,0-3 years,2,0-3 years
29,21-30 yrs old,No,Travel_Rarely,1247,Sales,20,11-20KM,2,Marketing,1,349,4,Male,45,RM31-RM60,3,2,Sales Executive,4,Divorced,6931,RM5001-RM10000,10732,2,0-2,Y,No,14,11-15%,3,4,80,1,10,>9 years,2,0-2 hours,3,3,0-3 years,2,0-3 years,0,0-3 years,2,0-3 years
25,21-30 yrs old,No,Travel_Rarely,685,Research & Development,1,0-10KM,3,Life Sciences,1,350,1,Female,62,RM61-RM90,3,2,Manufacturing Director,3,Married,4898,RM0-RM5000,7505,0,0-2,Y,No,12,11-15%,3,4,80,2,5,4-6 years,3,3-5 hours,3,4,4-6 years,2,0-3 years,1,0-3 years,2,0-3 years
42,41-50 yrs old,No,Travel_Rarely,269,Research & Development,2,0-10KM,3,Medical,1,351,4,Female,56,RM31-RM60,2,1,Laboratory Technician,1,Divorced,2593,RM0-RM5000,8007,0,0-2,Y,Yes,11,11-15%,3,3,80,1,10,>9 years,4,3-5 hours,3,9,7-9 years,6,4-6 years,7,7-9 years,8,7-9 years
40,31-40 yrs old,No,Travel_Rarely,1416,Research & Development,2,0-10KM,2,Medical,1,352,1,Male,49,RM31-RM60,3,5,Research Director,3,Divorced,19436,>RM15000,5949,0,0-2,Y,No,19,16-20%,3,4,80,1,22,>9 years,5,3-5 hours,3,21,>9 years,7,7-9 years,3,0-3 years,9,7-9 years
51,>50 yrs old,No,Travel_Rarely,833,Research & Development,1,0-10KM,3,Life Sciences,1,353,3,Male,96,>RM90,3,1,Research Scientist,4,Married,2723,RM0-RM5000,23231,1,0-2,Y,No,11,11-15%,3,2,80,0,1,0-3 years,0,0-2 hours,2,1,0-3 years,0,0-3 years,0,0-3 years,0,0-3 years
31,31-40 yrs old,Yes,Travel_Frequently,307,Research & Development,29,>20KM,2,Medical,1,355,3,Male,71,RM61-RM90,2,1,Laboratory Technician,2,Single,3479,RM0-RM5000,11652,0,0-2,Y,No,11,11-15%,3,2,80,0,6,4-6 years,2,0-2 hours,4,5,4-6 years,4,4-6 years,1,0-3 years,4,4-6 years
32,31-40 yrs old,No,Travel_Frequently,1311,Research & Development,7,0-10KM,3,Life Sciences,1,359,2,Male,100,>RM90,4,1,Laboratory Technician,2,Married,2794,RM0-RM5000,26062,1,0-2,Y,No,20,16-20%,4,3,80,0,5,4-6 years,3,3-5 hours,1,5,4-6 years,1,0-3 years,0,0-3 years,3,0-3 years
38,31-40 yrs old,No,Non-Travel,1327,Sales,2,0-10KM,2,Life Sciences,1,361,4,Male,39,RM31-RM60,2,2,Sales Executive,4,Married,5249,RM5001-RM10000,19682,3,3-5,Y,No,18,16-20%,3,4,80,1,13,>9 years,0,0-2 hours,3,8,7-9 years,7,7-9 years,7,7-9 years,5,4-6 years
32,31-40 yrs old,No,Travel_Rarely,128,Research & Development,2,0-10KM,1,Technical Degree,1,362,4,Male,84,RM61-RM90,2,2,Laboratory Technician,1,Single,2176,RM0-RM5000,19737,4,3-5,Y,No,13,11-15%,3,4,80,0,9,7-9 years,5,3-5 hours,3,6,4-6 years,2,0-3 years,0,0-3 years,4,4-6 years
46,41-50 yrs old,No,Travel_Rarely,488,Sales,2,0-10KM,3,Technical Degree,1,363,3,Female,75,RM61-RM90,1,4,Manager,2,Married,16872,>RM15000,14977,3,3-5,Y,Yes,12,11-15%,3,2,80,1,28,>9 years,2,0-2 hours,2,7,7-9 years,7,7-9 years,7,7-9 years,7,7-9 years
28,21-30 yrs old,Yes,Travel_Rarely,529,Research & Development,2,0-10KM,4,Life Sciences,1,364,1,Male,79,RM61-RM90,3,1,Laboratory Technician,3,Single,3485,RM0-RM5000,14935,2,0-2,Y,No,11,11-15%,3,3,80,0,5,4-6 years,5,3-5 hours,1,0,0-3 years,0,0-3 years,0,0-3 years,0,0-3 years
29,21-30 yrs old,No,Travel_Rarely,1210,Sales,2,0-10KM,3,Medical,1,366,1,Male,78,RM61-RM90,2,2,Sales Executive,2,Married,6644,RM5001-RM10000,3687,2,0-2,Y,No,19,16-20%,3,2,80,2,10,>9 years,2,0-2 hours,3,0,0-3 years,0,0-3 years,0,0-3 years,0,0-3 years
31,31-40 yrs old,No,Travel_Rarely,1463,Research & Development,23,>20KM,3,Medical,1,367,2,Male,64,RM61-RM90,2,2,Healthcare Representative,4,Married,5582,RM5001-RM10000,14408,0,0-2,Y,No,21,>20%,4,2,80,1,10,>9 years,2,0-2 hours,3,9,7-9 years,0,0-3 years,7,7-9 years,8,7-9 years
25,21-30 yrs old,No,Non-Travel,675,Research & Development,5,0-10KM,2,Life Sciences,1,369,2,Male,85,RM61-RM90,4,2,Healthcare Representative,1,Divorced,4000,RM0-RM5000,18384,1,0-2,Y,No,12,11-15%,3,4,80,2,6,4-6 years,2,0-2 hours,3,6,4-6 years,3,0-3 years,1,0-3 years,5,4-6 years
45,41-50 yrs old,No,Travel_Rarely,1385,Research & Development,20,11-20KM,2,Medical,1,372,3,Male,79,RM61-RM90,3,4,Healthcare Representative,4,Married,13496,RM10001-RM15000,7501,0,0-2,Y,Yes,14,11-15%,3,2,80,0,21,>9 years,2,0-2 hours,3,20,>9 years,7,7-9 years,4,4-6 years,10,>9 years
36,31-40 yrs old,No,Travel_Rarely,1403,Research & Development,6,0-10KM,3,Life Sciences,1,373,4,Male,47,RM31-RM60,3,1,Laboratory Technician,4,Married,3210,RM0-RM5000,20251,0,0-2,Y,No,11,11-15%,3,3,80,1,16,>9 years,4,3-5 hours,3,15,>9 years,13,>9 years,10,>9 years,11,>9 years
55,>50 yrs old,No,Travel_Rarely,452,Research & Development,1,0-10KM,3,Medical,1,374,4,Male,81,RM61-RM90,3,5,Manager,1,Single,19045,>RM15000,18938,0,0-2,Y,Yes,14,11-15%,3,3,80,0,37,>9 years,2,0-2 hours,3,36,>9 years,10,>9 years,4,4-6 years,13,>9 years
47,41-50 yrs old,Yes,Non-Travel,666,Research & Development,29,>20KM,4,Life Sciences,1,376,1,Male,88,RM61-RM90,3,3,Manager,2,Married,11849,RM10001-RM15000,10268,1,0-2,Y,Yes,12,11-15%,3,4,80,1,10,>9 years,2,0-2 hours,2,10,>9 years,7,7-9 years,9,7-9 years,9,7-9 years
28,21-30 yrs old,No,Travel_Rarely,1158,Research & Development,9,0-10KM,3,Medical,1,377,4,Male,94,>RM90,3,1,Research Scientist,4,Married,2070,RM0-RM5000,2613,1,0-2,Y,No,23,>20%,4,4,80,1,5,4-6 years,3,3-5 hours,2,5,4-6 years,2,0-3 years,0,0-3 years,4,4-6 years
37,31-40 yrs old,No,Travel_Rarely,228,Sales,6,0-10KM,4,Medical,1,378,3,Male,98,>RM90,3,2,Sales Executive,4,Married,6502,RM5001-RM10000,22825,4,3-5,Y,No,14,11-15%,3,2,80,1,7,7-9 years,5,3-5 hours,4,5,4-6 years,4,4-6 years,0,0-3 years,1,0-3 years
21,21-30 yrs old,No,Travel_Rarely,996,Research & Development,3,0-10KM,2,Medical,1,379,4,Male,100,>RM90,2,1,Research Scientist,3,Single,3230,RM0-RM5000,10531,1,0-2,Y,No,17,16-20%,3,1,80,0,3,0-3 years,4,3-5 hours,4,3,0-3 years,2,0-3 years,1,0-3 years,0,0-3 years
37,31-40 yrs old,No,Non-Travel,728,Research & Development,1,0-10KM,4,Medical,1,380,1,Female,80,RM61-RM90,3,3,Research Director,4,Divorced,13603,RM10001-RM15000,11677,2,0-2,Y,Yes,18,16-20%,3,1,80,2,15,>9 years,2,0-2 hours,3,5,4-6 years,2,0-3 years,0,0-3 years,2,0-3 years
35,31-40 yrs old,No,Travel_Rarely,1315,Research & Development,22,>20KM,3,Life Sciences,1,381,2,Female,71,RM61-RM90,4,3,Manager,2,Divorced,11996,RM10001-RM15000,19100,7,>5,Y,No,18,16-20%,3,2,80,1,10,>9 years,6,>5 hours,2,7,7-9 years,7,7-9 years,6,4-6 years,2,0-3 years
38,31-40 yrs old,No,Travel_Rarely,322,Sales,7,0-10KM,2,Medical,1,382,1,Female,44,RM31-RM60,4,2,Sales Executive,1,Divorced,5605,RM5001-RM10000,19191,1,0-2,Y,Yes,24,>20%,4,3,80,1,8,7-9 years,3,3-5 hours,3,8,7-9 years,0,0-3 years,7,7-9 years,7,7-9 years
26,21-30 yrs old,No,Travel_Frequently,1479,Research & Development,1,0-10KM,3,Life Sciences,1,384,3,Female,84,RM61-RM90,3,2,Manufacturing Director,2,Divorced,6397,RM5001-RM10000,26767,1,0-2,Y,No,20,16-20%,4,1,80,1,6,4-6 years,6,>5 hours,1,6,4-6 years,5,4-6 years,1,0-3 years,4,4-6 years
50,41-50 yrs old,No,Travel_Rarely,797,Research & Development,4,0-10KM,1,Life Sciences,1,385,1,Male,96,>RM90,3,5,Research Director,2,Divorced,19144,>RM15000,15815,3,3-5,Y,No,14,11-15%,3,1,80,2,28,>9 years,4,3-5 hours,2,10,>9 years,4,4-6 years,1,0-3 years,6,4-6 years
53,>50 yrs old,No,Travel_Rarely,1070,Research & Development,3,0-10KM,4,Medical,1,386,3,Male,45,RM31-RM60,3,4,Research Director,3,Married,17584,>RM15000,21016,3,3-5,Y,Yes,16,16-20%,3,4,80,3,21,>9 years,5,3-5 hours,2,5,4-6 years,3,0-3 years,1,0-3 years,3,0-3 years
42,41-50 yrs old,No,Travel_Rarely,635,Sales,1,0-10KM,1,Life Sciences,1,387,2,Male,99,>RM90,3,2,Sales Executive,3,Married,4907,RM0-RM5000,24532,1,0-2,Y,No,25,>20%,4,3,80,0,20,>9 years,3,3-5 hours,3,20,>9 years,16,>9 years,11,>9 years,6,4-6 years
29,21-30 yrs old,No,Travel_Frequently,442,Sales,2,0-10KM,2,Life Sciences,1,388,2,Male,44,RM31-RM60,3,2,Sales Executive,4,Single,4554,RM0-RM5000,20260,1,0-2,Y,No,18,16-20%,3,1,80,0,10,>9 years,3,3-5 hours,2,10,>9 years,7,7-9 years,0,0-3 years,9,7-9 years
55,>50 yrs old,No,Travel_Rarely,147,Research & Development,20,11-20KM,2,Technical Degree,1,389,2,Male,37,RM31-RM60,3,2,Laboratory Technician,4,Married,5415,RM5001-RM10000,15972,3,3-5,Y,Yes,19,16-20%,3,4,80,1,12,>9 years,4,3-5 hours,3,10,>9 years,7,7-9 years,0,0-3 years,8,7-9 years
26,21-30 yrs old,No,Travel_Frequently,496,Research & Development,11,11-20KM,2,Medical,1,390,1,Male,60,RM31-RM60,3,2,Healthcare Representative,1,Married,4741,RM0-RM5000,22722,1,0-2,Y,Yes,13,11-15%,3,3,80,1,5,4-6 years,3,3-5 hours,3,5,4-6 years,3,0-3 years,3,0-3 years,3,0-3 years
37,31-40 yrs old,No,Travel_Rarely,1372,Research & Development,1,0-10KM,3,Life Sciences,1,391,4,Female,42,RM31-RM60,3,1,Research Scientist,4,Single,2115,RM0-RM5000,15881,1,0-2,Y,No,12,11-15%,3,2,80,0,17,>9 years,3,3-5 hours,3,17,>9 years,12,>9 years,5,4-6 years,7,7-9 years
44,41-50 yrs old,Yes,Travel_Frequently,920,Research & Development,24,>20KM,3,Life Sciences,1,392,4,Male,43,RM31-RM60,3,1,Laboratory Technician,3,Divorced,3161,RM0-RM5000,19920,3,3-5,Y,Yes,22,>20%,4,4,80,1,19,>9 years,0,0-2 hours,1,1,0-3 years,0,0-3 years,0,0-3 years,0,0-3 years
38,31-40 yrs old,No,Travel_Rarely,688,Research & Development,23,>20KM,4,Life Sciences,1,393,4,Male,82,RM61-RM90,3,2,Healthcare Representative,4,Divorced,5745,RM5001-RM10000,18899,9,>5,Y,No,14,11-15%,3,2,80,1,10,>9 years,2,0-2 hours,3,2,0-3 years,2,0-3 years,1,0-3 years,2,0-3 years
26,21-30 yrs old,Yes,Travel_Rarely,1449,Research & Development,16,11-20KM,4,Medical,1,394,1,Male,45,RM31-RM60,3,1,Laboratory Technician,2,Divorced,2373,RM0-RM5000,14180,2,0-2,Y,Yes,13,11-15%,3,4,80,1,5,4-6 years,2,0-2 hours,3,3,0-3 years,2,0-3 years,0,0-3 years,2,0-3 years
28,21-30 yrs old,No,Travel_Rarely,1117,Research & Development,8,0-10KM,2,Life Sciences,1,395,4,Female,66,RM61-RM90,3,1,Research Scientist,4,Single,3310,RM0-RM5000,4488,1,0-2,Y,No,21,>20%,4,4,80,0,5,4-6 years,3,3-5 hours,3,5,4-6 years,3,0-3 years,0,0-3 years,2,0-3 years
49,41-50 yrs old,No,Travel_Frequently,636,Research & Development,10,0-10KM,4,Life Sciences,1,396,3,Female,35,RM31-RM60,3,5,Research Director,1,Single,18665,>RM15000,25594,9,>5,Y,Yes,11,11-15%,3,4,80,0,22,>9 years,4,3-5 hours,3,3,0-3 years,2,0-3 years,1,0-3 years,2,0-3 years
36,31-40 yrs old,No,Travel_Rarely,506,Research & Development,3,0-10KM,3,Technical Degree,1,397,3,Male,30,RM0-RM30,3,2,Research Scientist,2,Single,4485,RM0-RM5000,26285,4,3-5,Y,No,12,11-15%,3,4,80,0,10,>9 years,2,0-2 hours,3,8,7-9 years,0,0-3 years,7,7-9 years,7,7-9 years
31,31-40 yrs old,No,Travel_Frequently,444,Sales,5,0-10KM,3,Marketing,1,399,4,Female,84,RM61-RM90,3,1,Sales Representative,2,Divorced,2789,RM0-RM5000,3909,1,0-2,Y,No,11,11-15%,3,3,80,1,2,0-3 years,5,3-5 hours,2,2,0-3 years,2,0-3 years,2,0-3 years,2,0-3 years
26,21-30 yrs old,Yes,Travel_Rarely,950,Sales,4,0-10KM,4,Marketing,1,401,4,Male,48,RM31-RM60,2,2,Sales Executive,4,Single,5828,RM5001-RM10000,8450,1,0-2,Y,Yes,12,11-15%,3,2,80,0,8,7-9 years,0,0-2 hours,3,8,7-9 years,7,7-9 years,7,7-9 years,4,4-6 years
37,31-40 yrs old,No,Travel_Frequently,889,Research & Development,9,0-10KM,3,Medical,1,403,2,Male,53,RM31-RM60,3,1,Research Scientist,4,Married,2326,RM0-RM5000,11411,1,0-2,Y,Yes,12,11-15%,3,3,80,3,4,4-6 years,3,3-5 hours,2,4,4-6 years,2,0-3 years,1,0-3 years,2,0-3 years
42,41-50 yrs old,No,Travel_Frequently,555,Sales,26,>20KM,3,Marketing,1,404,3,Female,77,RM61-RM90,3,4,Sales Executive,2,Married,13525,RM10001-RM15000,14864,5,3-5,Y,No,14,11-15%,3,4,80,1,23,>9 years,2,0-2 hours,4,20,>9 years,4,4-6 years,4,4-6 years,8,7-9 years
18,<=20 yrs old,Yes,Travel_Rarely,230,Research & Development,3,0-10KM,3,Life Sciences,1,405,3,Male,54,RM31-RM60,3,1,Laboratory Technician,3,Single,1420,RM0-RM5000,25233,1,0-2,Y,No,13,11-15%,3,3,80,0,0,0-3 years,2,0-2 hours,3,0,0-3 years,0,0-3 years,0,0-3 years,0,0-3 years
35,31-40 yrs old,No,Travel_Rarely,1232,Sales,16,11-20KM,3,Marketing,1,406,3,Male,96,>RM90,3,3,Sales Executive,2,Married,8020,RM5001-RM10000,5100,0,0-2,Y,No,15,11-15%,3,3,80,2,12,>9 years,3,3-5 hours,2,11,>9 years,9,7-9 years,6,4-6 years,9,7-9 years
36,31-40 yrs old,No,Travel_Frequently,566,Research & Development,18,11-20KM,4,Life Sciences,1,407,3,Male,81,RM61-RM90,4,1,Laboratory Technician,4,Married,3688,RM0-RM5000,7122,4,3-5,Y,No,18,16-20%,3,4,80,2,4,4-6 years,2,0-2 hours,3,1,0-3 years,0,0-3 years,0,0-3 years,0,0-3 years
